,p,rho,Method,Estimator&Signal,Average MSE
131,25,0.5,LOO-CV,Ridge Sparse,0.0824493176931786
132,50,0.0,LOO-CV,Ridge Sparse,0.0308622694164785
133,50,0.25,LOO-CV,Ridge Sparse,0.048893950533055
134,50,0.5,LOO-CV,Ridge Sparse,0.0782755942894107
135,10,0.0,AIC,Ridge Dense,0.0688492422633345
136,10,0.0,BIC,Ridge Dense,0.0688496469113973
137,10,0.25,AIC,Ridge Dense,0.092749817367798
138,10,0.25,BIC,Ridge Dense,0.0927514766803401
139,10,0.5,AIC,Ridge Dense,0.1308516068194291
140,10,0.5,BIC,Ridge Dense,0.1308686330888019
141,25,0.0,AIC,Ridge Dense,0.058954633845165
142,25,0.0,BIC,Ridge Dense,0.0589587829606674
143,25,0.25,AIC,Ridge Dense,0.0808141426346494
144,25,0.25,BIC,Ridge Dense,0.080830196088756
145,25,0.5,AIC,Ridge Dense,0.1171049000187537
146,25,0.5,BIC,Ridge Dense,0.117223379700194
147,50,0.0,AIC,Ridge Dense,0.0397609014378388
148,50,0.0,BIC,Ridge Dense,0.0398012998008116
149,50,0.25,AIC,Ridge Dense,0.0539968424563055
150,50,0.25,BIC,Ridge Dense,0.0541016603256078
151,50,0.5,AIC,Ridge Dense,0.0779380663715807
152,50,0.5,BIC,Ridge Dense,0.0783681093001755
153,10,0.0,LOO-CV,Ridge Dense,0.0687039083545908
154,10,0.25,LOO-CV,Ridge Dense,0.0915942338030275
155,10,0.5,LOO-CV,Ridge Dense,0.1312734561968788
156,25,0.0,LOO-CV,Ridge Dense,0.0587113599618853
157,25,0.25,LOO-CV,Ridge Dense,0.0808655066784481
158,25,0.5,LOO-CV,Ridge Dense,0.1145313235173275
159,50,0.0,LOO-CV,Ridge Dense,0.0395034084381875
160,50,0.25,LOO-CV,Ridge Dense,0.0534131665383459
161,50,0.5,LOO-CV,Ridge Dense,0.0797441258455566
162,10,0,AIC,Adaptive Ridge Sparse,0.10789891609887652
163,10,0,BIC,Adaptive Ridge Sparse,0.10789891609887652
164,10,0,LOO-CV,Adaptive Ridge Sparse,0.035677389839515114
165,10,0.25,AIC,Adaptive Ridge Sparse,0.15542838456443087
166,10,0.25,BIC,Adaptive Ridge Sparse,0.15542838456443087
167,10,0.25,LOO-CV,Adaptive Ridge Sparse,0.05145898597190646
168,10,0.5,AIC,Adaptive Ridge Sparse,0.21913419901348918
169,10,0.5,BIC,Adaptive Ridge Sparse,0.21913419901348918
170,10,0.5,LOO-CV,Adaptive Ridge Sparse,0.07313522898827932
171,25,0,AIC,Adaptive Ridge Sparse,0.15838241222090182
172,25,0,BIC,Adaptive Ridge Sparse,0.15838241222090182
173,25,0,LOO-CV,Adaptive Ridge Sparse,0.0641274670178248
174,25,0.25,AIC,Adaptive Ridge Sparse,0.2414548212500798
175,25,0.25,BIC,Adaptive Ridge Sparse,0.2414548212500798
176,25,0.25,LOO-CV,Adaptive Ridge Sparse,0.09847797627144503
177,25,0.5,AIC,Adaptive Ridge Sparse,0.36213820514214407
178,25,0.5,BIC,Adaptive Ridge Sparse,0.36213820514214407
179,25,0.5,LOO-CV,Adaptive Ridge Sparse,0.1516232832849131
180,50,0,AIC,Adaptive Ridge Sparse,0.20654172914297309
181,50,0,BIC,Adaptive Ridge Sparse,0.20654172914297309
182,50,0,LOO-CV,Adaptive Ridge Sparse,0.13192822066022458
183,50,0.25,AIC,Adaptive Ridge Sparse,0.3177317069060615
184,50,0.25,BIC,Adaptive Ridge Sparse,0.3177317069060615
185,50,0.25,LOO-CV,Adaptive Ridge Sparse,0.20485852749432032
186,50,0.5,AIC,Adaptive Ridge Sparse,0.4863737611902812
187,50,0.5,BIC,Adaptive Ridge Sparse,0.4863737611902812
188,50,0.5,LOO-CV,Adaptive Ridge Sparse,0.33086769716109615
189,10,0,AIC,Adaptive Ridge Dense,0.1824279889340063
190,10,0,BIC,Adaptive Ridge Dense,0.1824279889340063
191,10,0,LOO-CV,Adaptive Ridge Dense,0.08638119066216139
192,10,0.25,AIC,Adaptive Ridge Dense,0.2617186627877609
193,10,0.25,BIC,Adaptive Ridge Dense,0.2617186627877609
194,10,0.25,LOO-CV,Adaptive Ridge Dense,0.11711396455548152
195,10,0.5,AIC,Adaptive Ridge Dense,0.3873612820397914
196,10,0.5,BIC,Adaptive Ridge Dense,0.3873612820397914
197,10,0.5,LOO-CV,Adaptive Ridge Dense,0.16655030673615057
198,25,0,AIC,Adaptive Ridge Dense,0.19077130635914405
199,25,0,BIC,Adaptive Ridge Dense,0.19077130635914405
200,25,0,LOO-CV,Adaptive Ridge Dense,0.10795590299688004
201,25,0.25,AIC,Adaptive Ridge Dense,0.2781875644935618
202,25,0.25,BIC,Adaptive Ridge Dense,0.2781875644935618
203,25,0.25,LOO-CV,Adaptive Ridge Dense,0.1480044671843986
204,25,0.5,AIC,Adaptive Ridge Dense,0.4137407368252974
205,25,0.5,BIC,Adaptive Ridge Dense,0.4137407368252974
206,25,0.5,LOO-CV,Adaptive Ridge Dense,0.21404191679442344
207,50,0,AIC,Adaptive Ridge Dense,0.18810929654845246
208,50,0,BIC,Adaptive Ridge Dense,0.18810929654845246
209,50,0,LOO-CV,Adaptive Ridge Dense,0.16749543690479896
210,50,0.25,AIC,Adaptive Ridge Dense,0.2723652399394241
211,50,0.25,BIC,Adaptive Ridge Dense,0.2723652399394241
212,50,0.25,LOO-CV,Adaptive Ridge Dense,0.22924713910430386
213,50,0.5,AIC,Adaptive Ridge Dense,0.40483828081630024
214,50,0.5,BIC,Adaptive Ridge Dense,0.40483828081630024
215,50,0.5,LOO-CV,Adaptive Ridge Dense,0.33338870605780097
